SR NO.,DATE,LOT NO.,PARTY NAME,BRAND,MODEL,QTY,ISSUE MODEL,REMARK,REPLACEMENT NO.,DOA CREDIT NOTE,DATE2,REMARK2,DOA NO ,DATE3,SEND TO COMPANY,DATE4,JOB SHEET NO.,DATE42,FDESPATCH THROUGH,DISPATCH DOC NO.,DATE5
11,2025-03-20,203,GLOBAL SOLUTIONS ,SYSKA,Syska P1071 1000 Mah Black Powerbank,3,P1006,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/165,2025-03-20,2025-03-20 00:00:00,,82/165,2025-03-20,PORTER,9987268002.0,28-23-2025
12,2025-03-20,203,GLOBAL SOLUTIONS ,SYSKA,SYSKA SSW109 BLACK SMART WATCH,8,SSW106,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/165,2025-03-20,2025-03-20 00:00:00,,82/165,2025-03-20,PORTER,9987268002.0,28-23-2025
13,2025-03-20,203,GLOBAL SOLUTIONS ,SYSKA,SYSKA P1090 10000MAH POWERBANK GREY,1,P1098,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/165,2025-03-20,2025-03-20 00:00:00,,82/165,2025-03-20,PORTER,9987268002.0,28-23-2025
14,2025-03-20,203,GLOBAL SOLUTIONS ,SYSKA,SYSKA P1098 BLACK 22.5W10000 MAH POWERBANK,2,P1098,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/165,2025-03-20,2025-03-20 00:00:00,,82/165,2025-03-20,PORTER,9987268002.0,28-23-2025
15,2025-03-20,203,GLOBAL SOLUTIONS ,SYSKA,SYSKA SCC18 1.2 M MICRO USB PVC CABLE BLACK,4,SCC18,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/165,2025-03-20,2025-03-20 00:00:00,,82/165,2025-03-20,PORTER,9987268002.0,28-23-2025
16,2025-03-20,203,GLOBAL SOLUTIONS ,SYSKA,SYSKA ER201 BEAT MASTER WIRED EARPHONE BLACK,2,HF916,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/165,2025-03-20,2025-03-20 00:00:00,,82/165,2025-03-20,PORTER,9987268002.0,28-23-2025
17,2025-03-20,203,GLOBAL SOLUTIONS ,SYSKA,Syska P2023 Black 20000 MAH Powerbank,9,P2023,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/165,2025-03-20,2025-03-20 00:00:00,,82/165,2025-03-20,PORTER,9987268002.0,28-23-2025
18,2025-03-20,203,GLOBAL SOLUTIONS ,SYSKA,SYSKA PB2080 22.5W BLACK 20000MAH POWER BANK,1,PB2080,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/165,2025-03-20,2025-03-20 00:00:00,,82/165,2025-03-20,PORTER,9987268002.0,28-23-2025
19,2025-03-20,203,GLOBAL SOLUTIONS ,SYSKA,SYSKA TRAVEL CHARGER TC 2.1 WHITE,2,WA2.4 USB,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/165,2025-03-20,2025-03-20 00:00:00,,82/165,2025-03-20,PORTER,9987268002.0,28-23-2025
20,2025-03-20,203,GLOBAL SOLUTIONS ,SYSKA,SYSKA ER214 BEAT MASTER WIRED EARPHONE BLACK,2,HF09,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/165,2025-03-20,2025-03-20 00:00:00,,82/165,2025-03-20,PORTER,9987268002.0,28-23-2025
21,2025-03-20,203,GLOBAL SOLUTIONS ,SYSKA,SYSKA ER217 WIRED EARPHONE BLACK GOLD,2,HF916,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/165,2025-03-20,2025-03-20 00:00:00,,82/165,2025-03-20,PORTER,9987268002.0,28-23-2025
22,2025-03-20,203,GLOBAL SOLUTIONS ,SYSKA,SYSKA MICRO CABLE SCC21 3AMP BLACK,6,SCC21,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/165,2025-03-20,2025-03-20 00:00:00,,82/165,2025-03-20,PORTER,9987268002.0,28-23-2025
23,2025-03-20,203,GLOBAL SOLUTIONS ,SYSKA,SYSKA FCC25 1.2 M/5 AMP C TO C TYPE C CABLE GREY,3,CN,,CN,DOAG/1969/2425,2025-03-29,,82/165,2025-03-20,2025-03-20 00:00:00,,82/165,2025-03-20,PORTER,9987268002.0,28-23-2025
24,2025-03-20,203,GLOBAL SOLUTIONS ,SYSKA,SYSKA FCC-27 IPHONE 1.2M 5AMP TYPE C TO 8 PIN GREY,1,CN,,CN,DOAG/1969/2425,2025-03-29,,82/165,2025-03-20,2025-03-20 00:00:00,,82/165,2025-03-20,PORTER,9987268002.0,28-23-2025
25,2025-03-20,203,GLOBAL SOLUTIONS ,SYSKA,SYSKA WC2.A 2AMP TRAVEL CHARGER BLACK,1,WA2.4 USB,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/165,2025-03-20,2025-03-20 00:00:00,,82/165,2025-03-20,PORTER,9987268002.0,28-23-2025
26,2025-03-20,203,GLOBAL SOLUTIONS ,SYSKA,SYSKA CCCT30 USB/C TURBO 30WATTS CABLE,1,CCCT30,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/165,2025-03-20,2025-03-20 00:00:00,,82/165,2025-03-20,PORTER,9987268002.0,28-23-2025
27,2025-03-20,203,GLOBAL SOLUTIONS ,SYSKA,SYSKA RC30W QC USB TRAVEL CHARGER WHITE,1,PD032,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/165,2025-03-20,2025-03-20 00:00:00,,82/165,2025-03-20,PORTER,9987268002.0,28-23-2025
28,2025-03-20,203,GLOBAL SOLUTIONS ,SYSKA,SYSKA PD032-30W TYPE C TO C CHARGER BLACK,6,PD032,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/165,2025-03-20,2025-03-20 00:00:00,,82/165,2025-03-20,PORTER,9987268002.0,28-23-2025
29,2025-03-20,203,GLOBAL SOLUTIONS ,SYSKA,SYSKA HE3500 DEEP BASS NECKBAND BLACK,7,HE100H,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/165,2025-03-20,2025-03-20 00:00:00,,82/165,2025-03-20,PORTER,9987268002.0,28-23-2025
30,2025-03-20,203,GLOBAL SOLUTIONS ,SYSKA,SYSKA BT4082X BLACK BLUETOOTH SPEAKER,2,BT4082,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/165,2025-03-20,2025-03-20 00:00:00,,82/165,2025-03-20,PORTER,9987268002.0,28-23-2025
31,2025-03-20,203,GLOBAL SOLUTIONS ,SYSKA,HE4500 BLACK STEREO BLUETOOTH WITH A2DP,1,HE100H,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/165,2025-03-20,2025-03-20 00:00:00,,82/165,2025-03-20,PORTER,9987268002.0,28-23-2025
32,2025-03-20,203,GLOBAL SOLUTIONS ,SYSKA,SYSKA EB-0568 EAR GROOVE EARBUDS BLACK,2,AB001N,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/165,2025-03-20,2025-03-20 00:00:00,,82/165,2025-03-20,PORTER,9987268002.0,28-23-2025
33,2025-03-20,203,GLOBAL SOLUTIONS ,SYSKA,SYSKA EB-0568 EAR GROOVE EARBUDS WHITE,2,AB001N,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/165,2025-03-20,2025-03-20 00:00:00,,82/165,2025-03-20,PORTER,9987268002.0,28-23-2025
34,2025-03-20,203,GLOBAL SOLUTIONS ,SYSKA,SYSKA NB6100 BLACK,16,NB1008,,RPLC/0120/2526,DOAG/0135/2526,2025-05-02,,82/165,2025-03-20,2025-03-20 00:00:00,,82/165,2025-03-20,PENDING,,
35,2025-03-20,203,GLOBAL SOLUTIONS ,SYSKA,SYSKA NB6300 METALLIC BLACK,3,NB1008,,RPLC/0120/2526,DOAG/0135/2526,2025-05-02,,82/165,2025-03-20,2025-03-20 00:00:00,,82/165,2025-03-20,PENDING,,
36,2025-03-20,203,GLOBAL SOLUTIONS ,SYSKA,SYSKA NB-0658 BLACK BT NECKBAND,3,NB1008,,RPLC/0120/2526,DOAG/0135/2526,2025-05-02,,82/165,2025-03-20,2025-03-20 00:00:00,,82/165,2025-03-20,PENDING,,
37,2025-03-20,203,GLOBAL SOLUTIONS ,SYSKA,SYSKA NB-070 SYSKA BT NECKBAND BLACK GREY,5,NB1008,,RPLC/0120/2526,DOAG/0135/2526,2025-05-02,,82/165,2025-03-20,2025-03-20 00:00:00,,82/165,2025-03-20,PENDING,,
38,2025-03-20,203,GLOBAL SOLUTIONS ,SYSKA,SYSKA NB-072C SYSKA NECKBAND BLACK GREY,35,NB1008,,RPLC/0120/2526,DOAG/0135/2526,2025-05-02,,82/165,2025-03-20,2025-03-20 00:00:00,,82/165,2025-03-20,PENDING,,
39,2025-03-20,203,GLOBAL SOLUTIONS ,SYSKA,SYSKA NB-077 NECKBAND METALLIC GREY,8,CN,,CN,DOAG/0128/2526,2025-04-30,,82/165,2025-03-20,2025-03-20 00:00:00,,82/165,2025-03-20,PENDING,,
40,2025-03-20,203,GLOBAL SOLUTIONS ,SYSKA,SYSKA NB-077V NECKBAND METALLIC GREY,8,NB1008,,RPLC/0120/2526,DOAG/0135/2526,2025-05-02,,82/165,2025-03-20,2025-03-20 00:00:00,,82/165,2025-03-20,PENDING,,
41,2025-03-20,203,GLOBAL SOLUTIONS ,SYSKA,SYSKA NB-90 MG BLUETOOTH,14,CN,,CN,DOAG/0128/2526,2025-04-30,,82/165,2025-03-20,2025-03-20 00:00:00,,82/165,2025-03-20,PENDING,,
42,2025-03-20,203,GLOBAL SOLUTIONS ,SYSKA,SYSKA SHF918 RD,6,SHF 918,,RPLC/1832/2425,DOAG/0130/2526,2025-03-29,,82/165,2025-03-20,2025-03-20 00:00:00,,82/165,2025-03-20,PORTER,9987268002.0,28-23-2025
43,2025-03-20,203,GLOBAL SOLUTIONS ,SYSKA,Syska BT Soundbar SB999 10W Silver Grey,2,SB999,,RPLC/1832/2425,DOAG/0130/2526,2025-03-29,,82/165,2025-03-20,2025-03-20 00:00:00,,82/165,2025-03-20,PORTER,9987268002.0,28-23-2025
44,2025-03-20,203,GLOBAL SOLUTIONS ,SYSKA,SYSKA ST-1000 BAAZA SINGLE TWR WIRED MIC BLACK,2,BAZZA PRO,,RPLC/0120/2526,DOAG/0135/2526,2025-05-02,,82/165,2025-03-20,2025-03-20 00:00:00,,82/165,2025-03-20,PENDING,,
45,2025-03-20,203,GLOBAL SOLUTIONS ,SYSKA,BT750WIRELESS BOOMBOX SPEAKER,1,SB999,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/165,2025-03-20,2025-03-20 00:00:00,,82/165,2025-03-20,PORTER,9987268002.0,28-23-2025
46,2025-03-20,203,GLOBAL SOLUTIONS ,SYSKA,SYSKA SCC09 TYPE C WHITE VOOC CABLE,1,SCC09,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/165,2025-03-20,2025-03-20 00:00:00,,82/165,2025-03-20,PORTER,9987268002.0,28-23-2025
47,2025-03-20,203,GLOBAL SOLUTIONS ,SYSKA,SYSKA WA-2.4A 2 USB PORT OUTPOT WALL CHARGER,2,WA2.4 USB,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/165,2025-03-20,2025-03-20 00:00:00,,82/165,2025-03-20,PORTER,9987268002.0,28-23-2025
48,2025-03-20,203,GLOBAL SOLUTIONS ,SYSKA,SYSKA WA-2.4A WH TYPE C CABLE,3,WA2.4 TYP C,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/165,2025-03-20,2025-03-20 00:00:00,,82/165,2025-03-20,PORTER,9987268002.0,28-23-2025
49,2025-03-20,38,GLOBAL SOLUTIONS ,SYSKA,BOAST BM001 BLACK BLUETOOTH HEADSET,13,CN,,CN,DOAG/0129/2526,2025-04-30,,82/166,2025-03-20,2025-03-20 00:00:00,,82/166,2025-03-20,PENDING,,
50,2025-03-20,38,GLOBAL SOLUTIONS ,SYSKA,BOAST PB2001 WHITE POWER BANK,2,CN,,CN,DOAG/1969/2425,2025-03-29,,82/166,2025-03-20,2025-03-20 00:00:00,,82/166,2025-03-20,PORTER,9987268002.0,28-23-2025
51,2025-03-20,38,GLOBAL SOLUTIONS ,SYSKA,BOAST AB003 BLACK EARBUDS,4,AB003,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/166,2025-03-20,2025-03-20 00:00:00,,82/166,2025-03-20,PORTER,9987268002.0,28-23-2025
52,2025-03-20,38,GLOBAL SOLUTIONS ,SYSKA,BOAST AB001 BLUE EARBUDS,1,AB001,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/166,2025-03-20,2025-03-20 00:00:00,,82/166,2025-03-20,PORTER,9987268002.0,28-23-2025
53,2025-03-20,38,GLOBAL SOLUTIONS ,SYSKA,BOAST AB001 WHITE EARBUDS,4,AB001,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/166,2025-03-20,2025-03-20 00:00:00,,82/166,2025-03-20,PORTER,9987268002.0,28-23-2025
54,2025-03-20,38,GLOBAL SOLUTIONS ,SYSKA,BOAST AB003 WHITE EARBUDS,4,AB003,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/166,2025-03-20,2025-03-20 00:00:00,,82/166,2025-03-20,PORTER,9987268002.0,28-23-2025
55,2025-03-20,38,GLOBAL SOLUTIONS ,SYSKA,BOAST AB001 N BLACK EARBUDS,1,AB001N,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/166,2025-03-20,2025-03-20 00:00:00,,82/166,2025-03-20,PORTER,9987268002.0,28-23-2025
56,2025-03-20,38,GLOBAL SOLUTIONS ,SYSKA,BOAST PB10 12W 10000MAH WHITE POWER BANK,1,PB10,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/166,2025-03-20,2025-03-20 00:00:00,,82/166,2025-03-20,PORTER,9987268002.0,28-23-2025
57,2025-03-20,38,GLOBAL SOLUTIONS ,SYSKA,BOAST-PB-12 22.5W 10000MAH BLACK,5,PB-12,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/166,2025-03-20,2025-03-20 00:00:00,,82/166,2025-03-20,PORTER,9987268002.0,28-23-2025
58,2025-03-20,38,GLOBAL SOLUTIONS ,SYSKA,Boast PB-12 22.5W 10000MAH WHITE,1,PB-12,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/166,2025-03-20,2025-03-20 00:00:00,,82/166,2025-03-20,PORTER,9987268002.0,28-23-2025
59,2025-03-20,38,GLOBAL SOLUTIONS ,SYSKA,BOAST- PB-01 BLUE POWER BANK,2,PB-01,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/166,2025-03-20,2025-03-20 00:00:00,,82/166,2025-03-20,PORTER,9987268002.0,28-23-2025
60,2025-03-20,220,GLOBAL SOLUTIONS ,SYSKA,SYSKA  CC10 CABLE,2,CC10,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/167,2025-03-20,2025-03-20 00:00:00,,82/167,2025-03-20,PORTER,9987268002.0,28-23-2025
61,2025-03-20,220,GLOBAL SOLUTIONS ,SYSKA,SYSKA WPB1004 22.W BLACK PB10000 MAH,6,WPB1004,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/167,2025-03-20,2025-03-20 00:00:00,,82/167,2025-03-20,PORTER,9987268002.0,28-23-2025
62,2025-03-20,220,GLOBAL SOLUTIONS ,SYSKA,P1045B Black Power Bank,1,P1006,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/167,2025-03-20,2025-03-20 00:00:00,,82/167,2025-03-20,PORTER,9987268002.0,28-23-2025
63,2025-03-20,220,GLOBAL SOLUTIONS ,SYSKA,SYSKA P1051 POWER BANK 10000 MAH BLACK,2,P1006,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/167,2025-03-20,2025-03-20 00:00:00,,82/167,2025-03-20,PORTER,9987268002.0,28-23-2025
64,2025-03-20,220,GLOBAL SOLUTIONS ,SYSKA,SYSKA SSW106 SMARTWATCH BLUWTOOTH CALLING ROSE GOLD,5,SSW106,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/167,2025-03-20,2025-03-20 00:00:00,,82/167,2025-03-20,PORTER,9987268002.0,28-23-2025
65,2025-03-20,220,GLOBAL SOLUTIONS ,SYSKA,SYSKA PB1069 22.5W WHITE POWER BANK,1,PB1069,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/167,2025-03-20,2025-03-20 00:00:00,,82/167,2025-03-20,PORTER,9987268002.0,28-23-2025
66,2025-03-20,220,GLOBAL SOLUTIONS ,SYSKA,Syska P1071 1000 Mah Black Powerbank,2,P1006,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/167,2025-03-20,2025-03-20 00:00:00,,82/167,2025-03-20,PORTER,9987268002.0,28-23-2025
67,2025-03-20,220,GLOBAL SOLUTIONS ,SYSKA,Syska P1071 10000 MAH White Powerbank,2,P1006,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/167,2025-03-20,2025-03-20 00:00:00,,82/167,2025-03-20,PORTER,9987268002.0,28-23-2025
68,2025-03-20,220,GLOBAL SOLUTIONS ,SYSKA,SYSKA SSW109 BLACK SMART WATCH,12,SSW106,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/167,2025-03-20,2025-03-20 00:00:00,,82/167,2025-03-20,PORTER,9987268002.0,28-23-2025
69,2025-03-20,220,GLOBAL SOLUTIONS ,SYSKA,SYSKA SCC18 1.2 M MICRO USB PVC CABLE BLACK,5,SCC18,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/167,2025-03-20,2025-03-20 00:00:00,,82/167,2025-03-20,PORTER,9987268002.0,28-23-2025
70,2025-03-20,220,GLOBAL SOLUTIONS ,SYSKA,SYSKA P2066 22.5 20000MAH POWERBANK GREY,1,P2023,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/167,2025-03-20,2025-03-20 00:00:00,,82/167,2025-03-20,PORTER,9987268002.0,28-23-2025
71,2025-03-20,220,GLOBAL SOLUTIONS ,SYSKA,SYSKA P2082 BLUE 20000MAH PB,1,P2023,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/167,2025-03-20,2025-03-20 00:00:00,,82/167,2025-03-20,PORTER,9987268002.0,28-23-2025
72,2025-03-20,220,GLOBAL SOLUTIONS ,SYSKA,SYSKA ER214 BEAT MASTER WIRED EARPHONE BLACK,2,HF09,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/167,2025-03-20,2025-03-20 00:00:00,,82/167,2025-03-20,PORTER,9987268002.0,28-23-2025
73,2025-03-20,220,GLOBAL SOLUTIONS ,SYSKA,SYSKA ER217 WIRED EARPHONE BLACK GOLD,3,HF916,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/167,2025-03-20,2025-03-20 00:00:00,,82/167,2025-03-20,PORTER,9987268002.0,28-23-2025
74,2025-03-20,220,GLOBAL SOLUTIONS ,SYSKA,SYSKA MICRO CABLE SCC21 3AMP BLACK,4,SCC21,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/167,2025-03-20,2025-03-20 00:00:00,,82/167,2025-03-20,PORTER,9987268002.0,28-23-2025
75,2025-03-20,220,GLOBAL SOLUTIONS ,SYSKA,SYSKA CCCT30 USB/C TURBO 30WATTS CABLE,1,CCCT30,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/167,2025-03-20,2025-03-20 00:00:00,,82/167,2025-03-20,PORTER,9987268002.0,28-23-2025
76,2025-03-20,220,GLOBAL SOLUTIONS ,SYSKA,P3001J 30000MAH POWERBANK BLACK,1,CN,,CN,DOAG/1969/2425,2025-03-29,,82/167,2025-03-20,2025-03-20 00:00:00,,82/167,2025-03-20,PORTER,9987268002.0,28-23-2025
77,2025-03-20,220,GLOBAL SOLUTIONS ,SYSKA,SYSKA P3002J 22.5W 30000MAH PLIMER POWERBANK BLACK,1,CN,,CN,DOAG/1969/2425,2025-03-29,,82/167,2025-03-20,2025-03-20 00:00:00,,82/167,2025-03-20,PORTER,9987268002.0,28-23-2025
78,2025-03-20,220,GLOBAL SOLUTIONS ,SYSKA,SYSKA PD032-30W TYPE C TO C CHARGER BLACK,1,PD032,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/167,2025-03-20,2025-03-20 00:00:00,,82/167,2025-03-20,PORTER,9987268002.0,28-23-2025
79,2025-03-20,220,GLOBAL SOLUTIONS ,SYSKA,SYSKA HE3500 DEEP BASS NECKBAND BLACK,8,HE100H,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/167,2025-03-20,2025-03-20 00:00:00,,82/167,2025-03-20,PORTER,9987268002.0,28-23-2025
80,2025-03-20,220,GLOBAL SOLUTIONS ,SYSKA,SYSKA BT4082X BLACK BLUETOOTH SPEAKER,2,BT4082,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/167,2025-03-20,2025-03-20 00:00:00,,82/167,2025-03-20,PORTER,9987268002.0,28-23-2025
81,2025-03-20,220,GLOBAL SOLUTIONS ,SYSKA,HS500 WIRED HEADSET,2,HS500,,RPLC/0121/2526,DOAG/0136/2526,2025-05-02,,82/167,2025-03-20,2025-03-20 00:00:00,,82/167,2025-03-20,PENDING,,
82,2025-03-20,220,GLOBAL SOLUTIONS ,SYSKA,SYSKA CR505S BLACK CAR CHARGER,2,CR505S ,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/167,2025-03-20,2025-03-20 00:00:00,,82/167,2025-03-20,PORTER,9987268002.0,28-23-2025
83,2025-03-20,220,GLOBAL SOLUTIONS ,SYSKA,HE5400PRO CLASSIC BLACK BLUETOOTH,1,HE100H,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/167,2025-03-20,2025-03-20 00:00:00,,82/167,2025-03-20,PORTER,9987268002.0,28-23-2025
84,2025-03-20,220,GLOBAL SOLUTIONS ,SYSKA,SYSKA EB-0568 EAR GROOVE EARBUDS BLACK,2,AB001N,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/167,2025-03-20,2025-03-20 00:00:00,,82/167,2025-03-20,PORTER,9987268002.0,28-23-2025
85,2025-03-20,220,GLOBAL SOLUTIONS ,SYSKA,SYSKA EB-0568 EAR GROOVE EARBUDS WHITE,2,AB001N,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/167,2025-03-20,2025-03-20 00:00:00,,82/167,2025-03-20,PORTER,9987268002.0,28-23-2025
86,2025-03-20,220,GLOBAL SOLUTIONS ,SYSKA,SYSKA NB6100 BLACK,9,NB1008,,RPLC/0121/2526,DOAG/0136/2526,2025-05-02,,82/167,2025-03-20,2025-03-20 00:00:00,,82/167,2025-03-20,PENDING,,
87,2025-03-20,220,GLOBAL SOLUTIONS ,SYSKA,SYSKA NB6300 METALLIC BLACK,2,NB1008,,RPLC/0121/2526,DOAG/0136/2526,2025-05-02,,82/167,2025-03-20,2025-03-20 00:00:00,,82/167,2025-03-20,PENDING,,
88,2025-03-20,220,GLOBAL SOLUTIONS ,SYSKA,SYSKA NB-0658 BLACK BT NECKBAND,2,NB1008,,RPLC/0121/2526,DOAG/0136/2526,2025-05-02,,82/167,2025-03-20,2025-03-20 00:00:00,,82/167,2025-03-20,PENDING,,
89,2025-03-20,220,GLOBAL SOLUTIONS ,SYSKA,SYSKA NB-070 SYSKA BT NECKBAND BLACK GREY,9,NB1008,,RPLC/0121/2526,DOAG/0136/2526,2025-05-02,,82/167,2025-03-20,2025-03-20 00:00:00,,82/167,2025-03-20,PENDING,,
90,2025-03-20,220,GLOBAL SOLUTIONS ,SYSKA,SYSKA NB-072C SYSKA NECKBAND BLACK GREY,66,NB1008,,RPLC/0121/2526,DOAG/0136/2526,2025-05-02,,82/167,2025-03-20,2025-03-20 00:00:00,,82/167,2025-03-20,PENDING,,
91,2025-03-20,220,GLOBAL SOLUTIONS ,SYSKA,SYSKA NB-077 NECKBAND METALLIC GREY,15,CN,,CN,DOAG/0130/2526,2025-04-30,,82/167,2025-03-20,2025-03-20 00:00:00,,82/167,2025-03-20,PENDING,,
